id,dvids_id,source_url,text
s001,news:474656,https://www.dvidshub.net/news/474656/ike-carrier-strike-group-arrives-eastern-mediterranean-sea,"Components of the Dwight D. Eisenhower (IKE) Carrier Strike Group (CSG) Nimitz-class aircraft carrier USS Dwight D. Eisenhower (CVN 69) arrived in the Eastern Mediterranean after an eight-month deployment in the U.S. 5th Fleet area of operations (AOO), June 22, 2024."
s002,news:399726,https://www.dvidshub.net/news/399726/ronald-reagan-carrier-strike-group-enters-5th-fleet,"The aircraft carrier USS Ronald Reagan (CVN 76), flagship of the Ronald Reagan carrier strike group (CSG), along with guided-missile cruiser USS Shiloh (CG 67) and guided-missile destroyer USS Halsey (DDG 97), entered the U.S. 5th Fleet area of operations, June 25."
s003,news:418171,https://www.dvidshub.net/news/418171/3rd-marine-aircraft-wing-expeditionary-strike-group-3-demonstrate-lightning-carrier-concept,"The Navy and Marine Corps demonstrated a key capability when they operated 20 F-35B Lightning II jets from America-class amphibious assault carrier USS Tripoli (LHA 7) March 30 through April 8, fully exercising the Marine Corps’ “lightning carrier” concept for the first time in naval history on an amphibious assault ship."
s004,news:429673,https://www.dvidshub.net/news/429673/carrier-strike-group-5-hosts-jmsdf-liaison-officers,"PHILIPPINE SEA (Sept. 20, 2022) – Commander, Carrier Strike Group (CSG) 5 hosted seven liaison officers (LNO) from Japan Maritime Self-Defense Force (JMSDF), aboard the U.S. Navy’s only forward-deployed aircraft carrier, USS Ronald Reagan (CVN 76), while JMSDF destroyer JS Amagiri (DD 154) operated in company with the strike group from Sept. 12-17."
s005,news:460861,https://www.dvidshub.net/news/460861/carl-vinson-carrier-strike-group-conducts-maritime-operations-south-china-sea,"U.S. Navy Carrier Strike Group (CSG) 1 led by its flagship, Nimitz-class aircraft carrier USS Carl Vinson (CVN 70), is operating in the South China Sea following a successful scheduled port visit to the Republic of Singapore."
s006,news:224042,https://www.dvidshub.net/news/224042/carrier-strike-group-1-conducts-south-china-sea-patrol,"SOUTH CHINA SEA - Carrier Strike Group (CSG) 1, including Nimitz-class aircraft carrier USS Carl Vinson (CVN 70), Destroyer Squadron (DESRON) 1’s Arleigh Burke-class guided-missile destroyer USS Wayne E. Meyer (DDG 108), and aircraft from Carrier Air Wing (CVW) 2, began routine operations in the South China Sea, Feb. 18."
s007,news:398125,https://www.dvidshub.net/news/398125/us-uk-and-french-aircraft-conduct-dual-carrier-operations-mediterranean-sea,"Demonstrating unmatched interoperability, Marine Fighter Attack Squadron (VMFA) 211 and USS The Sullivans (DDG68), Carrier Strike Group (CSG) 21, participated in dual carrier operations with Her Majesty's Ship Queen Elizabeth and the French Navy (Marine Nationale) Charles de Gaulle Carrier Strike Group."
s008,news:430714,https://www.dvidshub.net/news/430714/gerald-r-ford-carrier-strike-group-departs-first-deployment,"The first-in-class aircraft carrier USS Gerald R. Ford (CVN 78), flagship of the Gerald R. Ford Carrier Strike Group (GRFCSG), departed from Naval Station Norfolk on its first deployment to conduct operations and training exercises alongside NATO allies and partners throughout the Atlantic Ocean, Oct. 4."
s009,news:428085,https://www.dvidshub.net/news/428085/george-hw-bush-carrier-strike-group-transits-strait-gibraltar,"The George H.W. Bush Carrier Strike Group (GHWBCSG), embarked aboard the Nimitz-class aircraft carrier USS George H.W. Bush (CVN 77), transited the Strait of Gibraltar and entered the Mediterranean Sea as part of a regularly scheduled deployment in the U.S. Naval Forces Europe-Africa (NAVEUR-NAVAF) area of operations, Aug. 25, 2022."
s010,news:397131,https://www.dvidshub.net/news/397131/carrier-strike-group-sets-sail-seven-month-maiden-deployment,"NINE ships, 32 aircraft, and 3,700 personnel will set sail today on the UK Carrier Strike Group’s maiden operational deployment. The seven-month global deployment will extend through the Mediterranean and Indian Ocean and on to the Indo-Pacific, interacting with more than one fifth of the world’s nations. Courtesy Story by United Kingdom Ministry of Defence"
s011,news:5486,https://www.dvidshub.net/news/5486/reagan-carrier-strike-group-launches-first-air-missions-support-operation-iraqi-freedom,"USS RONALD REAGAN (CVN 76), At sea -F/A-18E Hornets assigned to the ""Eagles"" of Strike Fighter Attack Squadron (VFA) 115 on Feb. 22 became the first aircraft launched from the flight deck of USS Ronald Reagan (CVN 76) to drop ordnance on enemy targets in support of Operation Iraqi Freedom."
s012,news:7827,https://www.dvidshub.net/news/7827/enterprise-strike-group-conducts-significant-strikes-afghanistan,Aircraft assigned to Carrier Air Wing (CVW) One stationed aboard USS Enterprise (CVN 65) flew 14 missions in the skies over Afghanistan and provided their heaviest day of close air support to International Security Assistance Force (ISAF) troops and other coalition forces on the ground as part of Operation Enduring Freedom (OEF) on Sept. 20.
s013,news:402695,https://www.dvidshub.net/news/402695/carl-vinson-carrier-strike-group-joins-large-scale-exercise-2021,"Nimitz-class aircraft carrier USS Carl Vinson (CVN 70) and ships assigned to the Carl Vinson Carrier Strike Group (VINCSG) arrived in the Hawaii Islands Operating Area as part of Large-Scale Exercise (LSE) 2021, August 8."
s014,news:545615,https://www.dvidshub.net/news/545615/carl-vinson-carrier-strike-group-returns-9-month-deployment,"The Nimitz-class aircraft carrier USS Carl Vinson (CVN 70), the flagship of Carrier Strike Group (CSG) 1, returned to its homeport of San Diego on Aug. 14, following a nine-month deployment to the U.S. 3rd, 5th and 7th Fleet areas of operations."
s015,news:108374,https://www.dvidshub.net/news/108374/nimitz-strike-group-enters-5th-fleet,"The aircraft carrier USS Nimitz (CVN 68) with embarked Carrier Strike Group (CSG) 11, Carrier Air Wing (CVW) 11 and Destroyer Squadron 23, along with the guided-missile cruiser USS Princeton (CG 59) entered the U.S. 5th Fleet area of operations June 9."
s016,news:142671,https://www.dvidshub.net/news/142671/dual-carrier-strike-groups-air-force-marines-conduct-simulated-strike-during-valiant-shield-war-sea,"The George Washington and Carl Vinson Carrier Strike Groups, as well as land-based aircraft from Marine Corps Air Group 12 and Air Force 36th Operations Group completed dynamic war-at-sea exercises (WASEX) as part of Valiant Shield Sept. 16 and 18."
s017,news:458031,https://www.dvidshub.net/news/458031/gerald-r-ford-carrier-strike-group-teams-up-with-esps-mendez-nunez-mediterranean-operations,"Spanish Navy frigate ESPS Méndez Núñez (F104) joined the Gerald R. Ford Carrier Strike Group (GRFCSG) to participate in routine operations and conduct training events in the Mediterranean Sea, Nov. 8. This combined effort enhanced Allies’ abilities to maintain agile, capable and flexible forces in the region. Operating under the command of Standing NATO Maritime Group 2, Méndez Núñez conducted a replenishment-at-sea with the Lewis and Clark-class dry cargo ship USNS Medgar Evers (T-AKE-13), an air defense exercise with the Ticonderoga-class guided-missile cruiser USS Normandy (CG 60), a key leader engagement aboard the world's largest aircraft carrier USS Gerald R. Ford (CVN 78) and multiple crew familiarization “cross-deck” visits."
s018,news:483177,https://www.dvidshub.net/news/483177/theodore-roosevelt-carrier-strike-group-returns-san-diego-after-9-month-deployment,"The Nimitz-class aircraft carrier USS Theodore Roosevelt (CVN 71), the flagship of the Theodore Roosevelt Carrier Strike Group (TRCSG) returned to its homeport of San Diego Oct. 15 after conducting operations in the U.S. 3rd, 5th and 7th Fleet areas of operation as part of a routine deployment in support of global maritime security operations."
