id,dvids_id,source_url,text
s301,news:422882,https://www.dvidshub.net/news/422882/abraham-lincoln-carrier-strike-group-conducts-helicopter-visit-board-search-and-seizure-exercise-philippine-sea,"Explosive Ordnance Disposal Mobile Unit (EODMU) 3 Sailors, embarked on the Nimitz-class aircraft carrier USS Abraham Lincoln (CVN 72), conducted a helicopter visit, board, search and seizure training aboard the Arleigh Burke-class guided-missile destroyer USS Dewey (DDG 105) in conjunction with Helicopter Sea Combat Squadron (HSC) 14 and Helicopter Maritime Strike Squadron (HSM) 71) to enhance maritime interdiction operations (MIO) skillsets."
s302,news:231548,https://www.dvidshub.net/news/231548/carl-vinson-carrier-strike-group-and-japan-air-self-defense-forces-conduct-bilateral-joint-exercise,"***Correction (April 27, 2017): Flight operations with the Japan Air Self Defense Force and Carrier Air Wing 2 were cancelled yesterday and today due to unfavorable weather. Training events with Carl Vinson Strike Group and Japan Maritime Self Defense Force ships continued in the Philippine Sea in waters south of Japan. The Carl Vinson Strike Group and Japan Air Self Defense Force are looking at rescheduling combined flight operations at a later date.*** Japan Air Self Defense Forces and aircraft from Carrier Air Wing Two assigned to the Carl Vinson Carrier Strike Group are conducting combined aviation exercises in the Philippine Sea. The exercise consists of combined air training and information sharing to increase interoperability and communication among joint services."
s303,news:356888,https://www.dvidshub.net/news/356888/truman-begins-operations-us-5th-fleet,"The Nimitz-class aircraft carrier USS Harry S. Truman (CVN 75), the Carrier Strike Group Eight (CSG-8) flagship, conducted maritime security and flight operations in the U.S. 5th Fleet area of operations (AOO) Dec. 20, continuing carrier presence in the region."
s304,news:571071,https://www.dvidshub.net/news/571071/uss-minnesota-completes-first-deployment-navys-first-forward-deployed-virginia-class-submarine,"Virginia-class fast-attack submarine USS Minnesota (SSN 783) returned to its homeport at Naval Base Guam on July 29, 2026, completing its first deployment since becoming the Navy’s first forward-deployed Virginia-class submarine."
s305,news:570457,https://www.dvidshub.net/news/570457/robotic-servicing-geosynchronous-satellites-launches-into-orbit,"CAPE CANAVERAL SPACE FORCE STATION, Fla. – The Robotic Servicing of Geosynchronous Satellite (RSGS) payload, on board SpaceLogistic’s Mission Robotic Vehicle (MRV) has successfully launched from Space Launch Complex 40 at Cape Canaveral U.S. Space Force Station at about 5:15 pm on July 21, 2026. It is the first privately owned, operational robotic in-space servicing mission that extends the life and resilience of satellites in geosynchronous orbit (GEO) through on-orbit servicing."
s306,news:547385,https://www.dvidshub.net/news/547385/secaf-visits-vsfb-views-sda-tranche-1-satellite-ahead-launch,"Secretary of the Air Force Troy Meink visited Vandenberg Space Force Base Aug. 27-28, 2025, to engage with leadership and gain insight into the base’s strategic role in advancing U.S. space capabilities. Upon his arrival, Meink was greeted by U.S. Space Force Lt. Gen. Douglas Schiess, Commander, U.S. Space Forces - Space; and United States Space Command’s Combined Joint Force Space Component Commander, and Col. James T. Horne III, Space Launch Delta 30 commander. The visit included discussions on Vandenberg SFB’s contributions to national security and space operations."
s307,news:307339,https://www.dvidshub.net/news/307339/fourth-advanced-extremely-high-frequency-satellite,"The U.S. Air Force has successfully launched the fourth Advanced Extremely High Frequency (AEHF-4) communication satellite, Wednesday, Oct.17 at 12:15 a.m. EDT from Space Launch Complex-41 at Cape Canaveral Air Force Station, Florida. The satellite was carried to orbit aboard an United Launch Alliance (ULA) Atlas V 551 launch vehicle."
s308,news:275027,https://www.dvidshub.net/news/275027/space-stem-showcased-jbc-air-and-space-expo,"Since the 1957 launch of Sputnik, a Russian satellite, Americans have been challenged to step up and become leaders in science, technology, engineering and math -- collectively known as STEM. Over the years, there has been a trend in the push for STEM education to younger generations. Recognizing this, Air Mobility Command prioritizes the creation of partnerships with local and public schools to provide insight into the Air Force while enhancing educational experiences."
s309,news:335649,https://www.dvidshub.net/news/335649/evolution-space-2sops-prepares-gps-block-iii,"Lockheed Martin presented the 2nd Space Operations Squadron with a GPS Block III model satellite to celebrate the successful on-orbit testing of the new GPS III satellite at Schriever Air Force Base, Colorado, July 29."
s310,news:356097,https://www.dvidshub.net/news/356097/team-schriever-recognizes-30-years-space-superiority,"On Dec. 21, 1989, Headquarters Air Force Systems Command declared the Consolidated Space Operations Center’s Mission Control Complex-1A operational and transferred custody of its operations to Air Force Space Command. Upon transferring custody of MCC-1A, Air Force Space Command and the 2nd Space Wing (now the 50th SW) became fully capable to operate and maintain satellites charged to AFSPC. This included the early versions of the Global Positioning System satellites. “It is import to remember how Schriever Air Force Base, previously Falcon Air Force Station, went from being the alternate satellite control facility for the Air Force to the primary satellite operations facility for the Air Force,” said James Mesco, 50th SW historian. Upon the transfer of Building 400 operations, the wing controlled nine GPS satellites that only supported military users compared to its current 32 satellites that support four billion users globally. “Within a few years of the turnover of operations to the 2nd Space Wing, Air Force Space Command added more satellites to the wing’s control including the Defense Support Program, the Defense Meteorological Satellite Program and the Defense Satellite Communications System,” Mesco said. “The wing also flew the U.S. Navy’s Fleet Satellites and the NATO communications satellite.” Mesco said the first military satellites and ground stations began operations 60 years ago. This means the 50th has been the “Master of Space” for half of the Air Force’s space operations. “In the early 1980’s when Air Force Space Command first came into existence, the Air Force and Department of Defense needed to expand the military space infrastructure,” he said. “At the time Sunnyvale Air Force Station (later Onizuka AFS) was limited in its ability to grow to handle the new satellite systems such as GPS, DSP, and others on the drawing board for communications and surveillance. Following three years of discussions, Colorado became the choice and the area east of Peterson Air Force Base had the land available to establish a new satellite operations complex called the Consolidate Space Operations Center.” This land east of Peterson AFB would eventually become Schriever AFB, named after Gen. Bernard Schriever, whose grandson currently works at the base. “The transfer of Building 400 operations gave a permanent home to the future ‘Master of Space’ and signified the commitment of the U.S. military to the space mission,” said Lt. Col. Michael Schriever, 2nd Space Operations Squadron director of operations. “I am proud to be a part of the long line of space operators who have been a part of the 50th and continue the traditions of those before like my grandfather.” Schriever said recognizing the wing’s heritage is important as the lessons from the past can apply to tomorrow’s victories. “The title ‘Master of Space’ was not given but earned by the hard work of the wing’s Airmen throughout its history,” he said. “The 50th Space Wing is constantly finding ways to accomplish the mission more efficiently and with fewer resources while becoming more and more effective.” Although the 50th SW has maintained space superiority for 30 years, the wing looks to the future and plans to continue to connect and protect to project space effects. “U.S. military space capabilities have grown and this base along with it,” Mesco said. “As new satellite systems come on line this base will continue to be at the forefront of military space operations for generations to come.”"
s311,news:348655,https://www.dvidshub.net/news/348655/cyber-defense-correlation-cell-space-stands-up,"The Cyber Defense Correlation Cell for Space stood up Oct. 18 at Schriever Air Force Base, Colorado, and will operate at the enterprise level by detecting and responding to cyber threats against Air Force Space Command mission systems."
s312,news:508058,https://www.dvidshub.net/news/508058/nato-defense-ministers-focus-afghanistan-cyber-libya,"NATO defense ministers meeting in Brussels will discuss a new direction for operations in Afghanistan, alliance cyber defenses and a possible Libya training mission, Air Force Gen. Philip M. Breedlove, commander of U.S. European Command and NATO supreme allied commander for Europe, told reporters."
s313,news:507892,https://www.dvidshub.net/news/507892/dod-readies-elements-crucial-cyber-operations,"Hard work by the administration, the services and the leadership at U.S. Cyber Command is putting in place elements crucial to defending U.S. and allied interests in cyberspace, the deputy assistant secretary of defense for cyber policy said."
s314,news:401701,https://www.dvidshub.net/news/401701/ironclad-2021-bolsters-states-cyber-defense-capabilities,"To help address threats against our nation's cybersecurity, the Connecticut National Guard, in a partnership with the University of New Haven’s National Security Agency Center of Academic Excellence in Cyber Operations, participated in Ironclad 2021 June 21-25, a weeklong course designed to provide knowledge and understanding of how to respond to cyberattacks."
s315,news:504417,https://www.dvidshub.net/news/504417/rogers-discusses-cyber-operations-isil-deterrence,"Navy Adm. Michael S. Rogers, commander of U.S. Cyber Command, recently discussed a range of topics from cyber defense and offense to cyber deterrence and finding the Islamic State of Iraq and the Levant on the dark Web."
s316,news:207870,https://www.dvidshub.net/news/207870/marines-with-mef-strengthen-cyber-defensive-capabilities,"The Corps’ ability to win on the battlefield remains strong; however, its post-9/11 enemies in operational environments like in Iraq and Afghanistan have been, by and large, a technologically inferior force. And while the Corps may need to only refine its maneuver warfare skills, there is a new battle space that is sure to dominate the next major armed conflict: cyberspace."
s317,news:236436,https://www.dvidshub.net/news/236436/secretary-air-forces-first-visit-emphasizes-space-cyber,Secretary of the Air Force Heather Wilson’s first official trip included visits to Airmen at Peterson and Schriever Air Force Bases this week. Her trip highlighted the importance of Air Force space and cyberspace missions.
s318,news:274650,https://www.dvidshub.net/news/274650/task-force-echo-ii-army-national-guard-cyber-task-force-completes-transition,"FORT GEORGE G. MEADE, Md – The 780th Military Intelligence (MI) Brigade (Cyber) hosted an unprecedented transition of authority (TOA) ceremony between two Army National Guard (ARNG) formations whereby one cyber battalion transitioned with another to continue the Task Force Echo cyberspace mission, on a field near the brigade headquarters, April 19."
s319,news:520272,https://www.dvidshub.net/news/520272/new-unified-command-plan-spells-out-responsibilities-missions,"President George W. Bush has signed an updated unified command plan that codifies U.S. Africa Command, shifts responsibility for parts of the Caribbean Sea to U.S. Northern Command and assigns cyberspace and pandemic influenza missions to other combatant commanders."
s320,news:65617,https://www.dvidshub.net/news/65617/air-force-network-integration-center-home-plate-tech-expertise,"Gen. William Shelton, commander of Air Force Space Command, and his wife, Linda, visited the Air Force Network Integration Center, Jan. 25, to meet with Airmen and learn more about the center's role in his command's cyberspace mission."
s321,news:547047,https://www.dvidshub.net/news/547047/push-logistics-keeping-air-force-ready-despite-supply-chain-disruptions,"Operational sustainability is key in modern warfare. Adversaries are increasingly targeting the U.S. Air Force’s infrastructure, transportation systems, and cyberspace with the objective of disrupting our missions. Rather than reacting to challenges caused by interruptions after they occur, the U.S. Air Force has been developing proactive strategies to safeguard military operations."
s322,news:363810,https://www.dvidshub.net/news/363810/vngs-124th-cyber-protection-battalion-takes-charge-task-force-echo,"Army National Guard Soldiers assigned to the Virginia National Guard's Fairfax-based 124th Cyber Protection Battalion, 91st Cyber Brigade took charge of the Task Force Echo cyberspace mission during a transition of authority ceremony hosted by the 780th Military Intelligence Brigade (Cyber) Feb. 21, 2020, at Fort Meade, Maryland."
s323,news:422287,https://www.dvidshub.net/news/422287/mission-cyber-shield-develop-train-and-exercise-cyber-forces-areas-computer-network-internal,"The United States and its allies are under attack every day in cyberspace. The National Guard plays an important role in protecting critical networks across the United States and there is no network more important to protect than the DoDIN, the U.S. Department of Defense’s own system. Cyber Shield, the nation’s premiere unclassified cyber training exercise, involves more than 800 National Guard Soldiers and Airmen, civilian experts, and other military services from throughout the nation along with interagency partners from all levels of government and cyber leaders ranging from high-tech corporations to local utilities."
s324,news:210500,https://www.dvidshub.net/news/210500/joint-forces-complete-biennial-valiant-shield-2016,"By Mass Communication Specialist 3rd Class Sara B. Sexton, Commander, Task Force 70 Public Affairs. PHILIPPINE SEA (NNS) – Units from the U.S. Navy, U.S. Marine Corps, and U.S. Air Force completed the biennial exercise Valiant Shield 2016 (VS16), Sept. 23. The twelve-day exercise is a biennial, U.S. only, field training exercise (FTX) with a focus on joint training among U.S. forces to conduct a range of missions in the air, sea, land, and cyberspace."
s325,news:296120,https://www.dvidshub.net/news/296120/air-force-association-recognizes-florida-reserve-wing,"Reserve Citizen Airmen from the 920th Rescue Wing were awarded with the Air Force Association Unit Award Sept. 17, 2018, during the opening and awards ceremony at the annual Air, Space & Cyberspace Conference at the Gaylord National Resort and Convention Center in National Harbour, Maryland."
s326,news:490273,https://www.dvidshub.net/news/490273/securing-air-force-civil-engineer-control-systems,"Control systems are embedded in our everyday lives - from thermostats in our homes to lights illuminating runways. Even though these systems may seem inconspicuous, they can serve as entry points to cyberattacks. As processes and systems advance and become dependent on internet connection, Air Force Civil Engineers will continue leading the way in protecting our nation - even in cyberspace."
s327,news:564128,https://www.dvidshub.net/news/564128/civilian-expertise-military-speed-individual-readiness-fuels-force-headquarters-groups-rapid-cyber-deployments,"When the Marine Corps Cyberspace Operations Group required a rapid surge in capability, reserve Marines from 6th Communication Battalion mobilized within 36 hours, bringing both military readiness and specialized civilian cyber expertise to support a 60-day mission. Their swift response and dual-experience skill set demonstrated the effectiveness of reserve-active component integration and the critical role of preparedness in meeting evolving digital threats."
s328,news:419868,https://www.dvidshub.net/news/419868/two-california-air-national-guard-space-squadrons-support-us-space-force,"“Welcome to Space Country” greets base visitors arriving through Vandenberg’s main gate. Located on the central coast of California, Vandenberg SFB is home to a variety of space operations, both military and civilian, and is known for lighting up the night sky when hosting a launch. Two California Air National Guard units also call Space Country “home” while performing duties that directly support the nation’s space mission and defense. The 148th Space Operations Squadron (SOPS) and the 216th Space Control Squadron (SPCS) are both part of the 195th Wing - an Air Guard wing with a unique blend of missions encompassing space, cyberspace, intelligence and combat communications."
s329,news:186749,https://www.dvidshub.net/news/186749/afspc-picks-50th-scs-pilot-initiative,"Air Force Space Command selected the 50th Space Communications Squadron as the pilot for the Cyber Squadron of the Future initiative, focusing the squadron on defending mission and weapon systems in cyberspace."
s330,news:408374,https://www.dvidshub.net/news/408374/afimsc-centralizes-critical-communication-capability-with-standup-pmo,The Air Force Installation and Mission Support Center’s Cyberspace Systems Support Branch took on a new mission that will make a positive impact on field communications when it became the Department of the Air Force’s Land Mobile Radio Product Management Office on Oct. 18.
