id,pred_category,pred_operational_domain,pred_region
g001,operations,sea,indo-pacific
g002,operations,air,middle-east
g003,operations,sea,europe
g004,operations,sea,americas
g005,operations,sea,indo-pacific
g006,operations,sea,americas
g007,operations,space,americas
g009,technology,space,americas
g010,operations,space,americas
g011,industry,cyber,americas
g012,operations,cyber,americas
g013,operations,cyber,indo-pacific
g014,operations,cyber,indo-pacific
g016,operations,cyber,americas
g017,procurement,land,americas
g018,procurement,land,americas
g019,procurement,land,americas
g020,industry,land,americas
g021,procurement,land,global
g022,procurement,air,global
g023,procurement,air,americas
g024,operations,air,americas
g025,procurement,air,indo-pacific
g026,operations,land,global
g027,operations,air,americas
g028,operations,land,africa
g029,operations,air,global
g030,operations,land,americas
g031,operations,land,americas
g032,operations,air,middle-east
g033,operations,air,middle-east
g034,operations,air,middle-east
g035,technology,air,americas
g036,technology,air,americas
g037,technology,air,americas
g038,technology,air,americas
g039,technology,air,americas
g040,technology,sea,indo-pacific
g041,technology,land,americas
g042,technology,sea,americas
g043,technology,multi,americas
g044,policy,multi,global
g045,operations,land,middle-east
g047,policy,multi,americas
g048,policy,multi,global
g049,operations,multi,africa
g050,policy,multi,global
g051,policy,multi,global
g053,policy,multi,global
g054,industry,sea,americas
g055,industry,air,global
g056,industry,multi,americas
g057,industry,multi,global
g058,industry,multi,global
