id,pred_category,pred_operational_domain,pred_region
s001,operations,sea,europe
s002,operations,sea,middle-east
s003,operations,air,indo-pacific
s004,operations,sea,indo-pacific
s005,operations,sea,indo-pacific
s006,operations,sea,indo-pacific
s007,operations,sea,global
s008,operations,sea,europe
s009,operations,sea,europe
s010,operations,sea,global
s011,operations,air,middle-east
s012,operations,air,middle-east
s013,operations,sea,indo-pacific
s014,operations,sea,americas
s015,operations,sea,middle-east
s016,operations,multi,indo-pacific
s017,operations,sea,europe
s018,operations,sea,americas
s019,operations,air,middle-east
s020,operations,sea,americas
s021,operations,sea,middle-east
s022,operations,sea,global
s023,operations,sea,global
s024,operations,sea,europe
s025,operations,sea,europe
s026,operations,sea,americas
s027,operations,sea,indo-pacific
s028,operations,sea,europe
s029,operations,sea,europe
s030,operations,sea,europe
s031,operations,sea,europe
s032,operations,sea,europe
s033,operations,sea,americas
s034,operations,sea,americas
s035,operations,sea,global
s036,operations,sea,americas
s037,operations,sea,indo-pacific
s038,operations,sea,indo-pacific
s039,operations,sea,europe
s040,operations,sea,americas
s041,operations,sea,americas
s042,operations,sea,indo-pacific
s043,operations,sea,indo-pacific
s044,operations,sea,americas
s045,operations,sea,indo-pacific
s046,operations,sea,indo-pacific
s047,operations,sea,indo-pacific
s048,operations,sea,americas
s049,operations,sea,middle-east
s050,operations,sea,indo-pacific
s051,operations,space,americas
s052,technology,space,global
s053,operations,space,americas
s054,operations,space,americas
s055,operations,space,indo-pacific
s056,operations,cyber,global
s057,operations,space,americas
s058,operations,space,indo-pacific
s059,operations,space,americas
s060,policy,space,americas
s061,policy,space,americas
s062,operations,space,americas
s063,operations,space,americas
s064,technology,space,americas
s065,operations,space,americas
s066,operations,space,americas
s067,operations,space,americas
s068,operations,air,americas
s069,operations,space,americas
s070,technology,space,americas
s071,operations,space,global
s072,operations,space,americas
s073,operations,air,americas
s074,operations,air,americas
s075,policy,space,global
s076,operations,cyber,americas
s077,operations,cyber,global
s078,operations,cyber,global
s079,operations,cyber,global
s080,operations,cyber,global
s081,operations,cyber,americas
s082,policy,cyber,americas
s083,operations,cyber,americas
s084,operations,cyber,americas
s085,operations,cyber,americas
s086,technology,cyber,global
s087,operations,cyber,americas
s088,operations,cyber,global
s089,operations,cyber,americas
s090,operations,cyber,americas
s091,operations,cyber,indo-pacific
s092,procurement,cyber,americas
s093,operations,cyber,americas
s094,operations,cyber,americas
s095,operations,cyber,americas
s096,technology,cyber,global
s097,operations,cyber,americas
s098,operations,cyber,americas
s099,operations,cyber,global
s100,operations,cyber,americas
s101,policy,cyber,americas
s102,operations,cyber,americas
s103,technology,cyber,americas
s104,operations,cyber,americas
s105,operations,cyber,americas
s106,operations,cyber,americas
s107,operations,cyber,americas
s108,operations,cyber,americas
s109,policy,cyber,global
s110,operations,cyber,americas
s111,operations,cyber,global
s112,operations,cyber,americas
s113,operations,cyber,americas
s114,operations,multi,global
s115,operations,cyber,americas
s116,operations,cyber,americas
s117,technology,air,middle-east
s118,operations,multi,global
s119,operations,cyber,americas
s120,operations,cyber,americas
s121,operations,cyber,americas
s122,policy,cyber,global
s123,operations,cyber,americas
s124,policy,cyber,americas
s125,policy,cyber,americas
s126,procurement,land,americas
s127,procurement,multi,global
s128,procurement,land,global
s129,policy,multi,americas
s130,procurement,air,global
s131,procurement,land,americas
s132,procurement,air,americas
s133,procurement,air,americas
s134,policy,multi,indo-pacific
s135,policy,multi,americas
s136,procurement,air,americas
s137,procurement,air,global
s138,policy,cyber,global
s139,operations,sea,americas
s140,procurement,multi,americas
s141,procurement,cyber,americas
s142,procurement,multi,americas
s143,procurement,land,americas
s144,procurement,multi,global
s145,technology,land,americas
s146,technology,air,global
s147,procurement,air,global
s148,procurement,land,global
s149,technology,multi,global
s150,technology,multi,global
s151,technology,multi,global
s152,operations,air,americas
s153,policy,land,americas
s154,technology,cyber,global
s155,technology,land,americas
s156,procurement,air,europe
s157,procurement,air,americas
s158,operations,air,americas
s159,operations,air,americas
s160,procurement,air,americas
s161,procurement,air,americas
s162,operations,air,indo-pacific
s163,operations,air,europe
s164,operations,air,americas
s165,industry,air,americas
s166,operations,air,americas
s167,operations,air,middle-east
s168,operations,air,middle-east
s169,operations,air,middle-east
s170,operations,air,indo-pacific
s171,technology,air,global
s172,operations,air,africa
s173,operations,air,americas
s174,technology,air,americas
s175,operations,multi,indo-pacific
s176,operations,air,americas
s177,operations,air,americas
s178,procurement,air,americas
s179,technology,air,americas
s180,technology,air,americas
s181,operations,land,americas
s182,operations,land,americas
s183,operations,multi,americas
s184,operations,land,indo-pacific
s185,operations,land,americas
s186,operations,land,europe
s187,operations,land,americas
s188,operations,land,americas
s189,operations,land,americas
s190,operations,multi,indo-pacific
s191,operations,multi,americas
s192,operations,land,americas
s193,operations,air,americas
s194,operations,land,americas
s195,operations,land,americas
s196,operations,land,africa
s197,operations,air,indo-pacific
s198,operations,multi,middle-east
s199,operations,land,americas
s200,operations,land,middle-east
s201,operations,multi,middle-east
s202,operations,air,global
s203,operations,multi,americas
s204,operations,land,americas
s205,operations,air,americas
s206,operations,sea,americas
s207,operations,land,americas
s208,operations,air,europe
s209,operations,land,americas
s210,operations,land,middle-east
s211,operations,land,americas
s212,operations,land,middle-east
s213,operations,land,middle-east
s214,operations,land,americas
s215,operations,land,middle-east
s216,operations,land,middle-east
s217,operations,land,middle-east
s218,operations,land,europe
s219,operations,land,europe
s220,operations,air,middle-east
s221,operations,land,americas
s222,operations,air,africa
s223,operations,air,global
s224,operations,land,americas
s225,operations,land,americas
s226,operations,land,indo-pacific
s227,operations,land,middle-east
s228,operations,land,middle-east
s229,operations,multi,americas
s230,operations,multi,middle-east
s231,operations,air,middle-east
s232,operations,air,middle-east
s233,operations,air,middle-east
s234,operations,air,middle-east
s235,operations,air,middle-east
s236,operations,air,middle-east
s237,operations,air,middle-east
s238,operations,air,middle-east
s239,operations,multi,middle-east
s240,operations,air,middle-east
s241,operations,air,indo-pacific
s242,technology,sea,indo-pacific
s243,technology,air,americas
s244,technology,air,americas
s245,technology,space,americas
s246,operations,multi,americas
s247,technology,air,europe
s248,technology,land,global
s249,technology,air,americas
s250,technology,air,americas
s251,operations,air,americas
s252,technology,sea,americas
s253,technology,air,americas
s254,technology,air,americas
s255,technology,air,americas
s256,technology,air,americas
s257,technology,air,americas
s258,policy,air,global
s259,technology,multi,americas
s260,operations,air,americas
s261,technology,air,americas
s262,technology,sea,global
s263,technology,air,americas
s264,operations,space,indo-pacific
s265,technology,air,americas
s266,technology,air,americas
s267,technology,sea,americas
s268,technology,air,americas
s269,technology,air,americas
s270,technology,air,global
s271,technology,air,americas
s272,technology,sea,americas
s273,technology,multi,global
s274,technology,land,global
s275,technology,air,global
s276,technology,air,global
s277,technology,sea,americas
s278,technology,multi,americas
s279,operations,air,europe
s280,technology,land,global
s281,technology,sea,americas
s282,technology,land,global
s283,technology,sea,americas
s284,technology,land,global
s285,technology,land,americas
s286,technology,multi,global
s287,technology,multi,global
s288,technology,multi,americas
s289,technology,land,global
s290,technology,multi,americas
s291,technology,land,americas
s292,technology,sea,americas
s293,technology,sea,americas
s294,technology,air,global
s295,technology,multi,americas
s296,technology,multi,americas
s297,technology,sea,americas
s298,operations,land,americas
s299,technology,sea,americas
s300,technology,cyber,americas
