id,pred_category,pred_operational_domain,pred_region
s599,operations,land,americas
s086,technology,cyber,global
s503,operations,cyber,middle-east
s447,operations,sea,americas
s032,operations,sea,europe
s154,technology,cyber,global
s500,operations,land,middle-east
s536,operations,land,middle-east
s394,policy,space,global
s100,operations,cyber,americas
s572,operations,land,europe
s148,procurement,land,global
s089,operations,cyber,americas
s564,operations,land,americas
s493,operations,air,americas
s445,operations,sea,indo-pacific
s298,policy,land,americas
s455,operations,multi,indo-pacific
s230,operations,multi,middle-east
s229,operations,multi,americas
s520,operations,cyber,americas
s391,policy,space,global
s534,operations,land,americas
s014,operations,sea,americas
s016,operations,multi,indo-pacific
s071,operations,space,global
s442,operations,multi,americas
s064,procurement,space,americas
s336,operations,air,indo-pacific
s260,technology,multi,global
s422,operations,air,americas
s031,operations,sea,europe
s136,procurement,air,americas
s204,operations,land,americas
s198,operations,multi,middle-east
s347,operations,land,americas
s181,operations,land,americas
s175,operations,multi,indo-pacific
s308,policy,multi,americas
s047,operations,sea,indo-pacific
s215,operations,land,middle-east
s453,operations,sea,middle-east
s476,operations,air,americas
s090,policy,cyber,global
s593,operations,land,americas
s472,industry,land,americas
s252,technology,multi,americas
s300,technology,cyber,americas
s104,operations,cyber,americas
s105,operations,cyber,americas
s338,technology,air,global
s440,operations,land,americas
s038,operations,sea,indo-pacific
s339,operations,air,indo-pacific
s321,policy,multi,global
s076,operations,cyber,americas
s352,operations,air,indo-pacific
s277,technology,sea,americas
s541,policy,multi,global
s420,operations,land,americas
s240,operations,multi,middle-east
s559,operations,land,middle-east
s244,operations,air,americas
s174,technology,air,americas
s554,operations,land,americas
s072,operations,space,americas
s594,operations,land,americas
s185,operations,land,americas
s450,operations,multi,indo-pacific
s412,policy,multi,africa
s263,technology,air,global
s054,operations,space,americas
s318,operations,cyber,americas
s015,operations,sea,middle-east
s197,operations,air,indo-pacific
s184,operations,land,indo-pacific
s480,operations,land,americas
s137,procurement,air,global
s077,operations,cyber,global
s495,operations,land,americas
s458,operations,sea,americas
s049,operations,sea,middle-east
s413,operations,air,middle-east
s588,operations,multi,americas
s537,operations,multi,americas
s405,policy,multi,global
s315,policy,cyber,global
s195,operations,land,americas
s074,operations,air,americas
s231,operations,air,middle-east
s079,operations,cyber,global
s118,operations,multi,global
s305,technology,space,americas
s109,policy,cyber,global
s560,operations,land,americas
s313,policy,cyber,global
s254,technology,air,americas
s471,operations,land,americas
s135,policy,multi,americas
s444,operations,sea,americas
s043,operations,sea,indo-pacific
s007,operations,multi,global
s233,operations,air,middle-east
s249,technology,land,americas
s438,operations,sea,indo-pacific
s575,operations,land,americas
s421,operations,air,americas
s364,operations,land,global
s530,operations,multi,europe
s275,technology,air,global
s209,operations,land,americas
s576,operations,land,americas
s382,policy,multi,global
s183,operations,multi,americas
s002,operations,sea,middle-east
s221,operations,land,americas
s386,policy,multi,global
s061,operations,space,global
s317,policy,space,americas
s025,operations,sea,europe
s414,operations,air,americas
s486,operations,land,americas
s589,operations,land,americas
s158,procurement,air,americas
s228,operations,land,middle-east
s426,operations,multi,americas
s292,technology,sea,americas
s548,operations,land,middle-east
s153,policy,land,americas
s361,policy,multi,global
s286,technology,multi,global
s585,operations,land,americas
s256,technology,air,global
s066,operations,space,global
s272,technology,multi,americas
s050,operations,sea,indo-pacific
s457,operations,multi,indo-pacific
s567,operations,land,americas
s111,policy,cyber,global
s146,technology,land,global
s046,operations,sea,indo-pacific
s483,operations,air,middle-east
s282,technology,land,global
s168,operations,air,middle-east
s159,operations,air,americas
s023,operations,sea,global
s439,operations,land,americas
s356,operations,air,middle-east
s283,technology,sea,americas
s059,operations,space,americas
s296,technology,multi,americas
s312,policy,multi,europe
s385,policy,multi,americas
s206,operations,sea,americas
s558,operations,land,middle-east
s470,operations,air,americas
s006,operations,sea,indo-pacific
s214,operations,land,americas
s268,technology,air,americas
s555,policy,multi,global
s083,operations,cyber,americas
s205,operations,air,americas
s377,policy,multi,americas
s178,procurement,air,americas
s167,operations,air,middle-east
s027,operations,sea,indo-pacific
s460,operations,multi,indo-pacific
s036,operations,sea,americas
s387,policy,multi,europe
s201,operations,multi,middle-east
s155,technology,land,americas
s179,technology,air,americas
s417,operations,multi,americas
s431,operations,multi,americas
s116,operations,cyber,americas
s515,operations,cyber,americas
s265,technology,air,americas
s397,policy,space,global
s348,operations,land,europe
s459,operations,sea,middle-east
s551,operations,sea,africa
s516,operations,air,indo-pacific
s012,operations,air,middle-east
s019,operations,air,middle-east
s176,operations,air,americas
s232,operations,air,middle-east
s096,technology,cyber,americas
s057,operations,space,americas
s144,procurement,multi,global
s169,operations,air,middle-east
s060,policy,space,global
s301,operations,sea,global
s008,operations,sea,americas
s552,operations,land,middle-east
s468,operations,air,americas
s469,operations,air,americas
s451,operations,sea,middle-east
