id,pred_category,pred_operational_domain,pred_region
s002,operations,sea,middle-east
s116,operations,cyber,global
s286,technology,multi,global
s198,operations,multi,middle-east
s154,technology,cyber,global
s008,operations,sea,americas
s149,procurement,multi,global
s118,operations,multi,global
s046,operations,sea,indo-pacific
s131,procurement,land,global
s187,operations,land,americas
s083,operations,cyber,americas
s168,operations,air,middle-east
s220,operations,air,middle-east
s179,technology,air,americas
s289,technology,land,global
s147,procurement,air,global
s044,operations,sea,americas
s003,operations,air,global
s075,policy,space,global
s037,operations,sea,indo-pacific
s252,technology,multi,americas
s148,procurement,land,global
s247,technology,air,europe
s103,technology,cyber,americas
s208,operations,air,europe
s150,technology,multi,global
s196,operations,land,africa
s007,operations,multi,europe
s292,technology,sea,americas
s093,operations,cyber,americas
s226,operations,land,indo-pacific
s065,operations,space,americas
s192,operations,land,americas
s006,operations,sea,indo-pacific
s078,operations,cyber,global
s102,operations,cyber,americas
s121,operations,cyber,americas
s071,operations,space,global
s085,operations,cyber,americas
s123,policy,cyber,americas
s211,operations,land,americas
s020,operations,sea,americas
s197,operations,air,indo-pacific
s279,operations,air,europe
s291,technology,land,americas
s178,procurement,air,americas
s267,technology,sea,americas
s018,operations,sea,americas
s257,technology,air,americas
s221,operations,land,americas
s239,operations,multi,middle-east
s182,operations,land,americas
s134,policy,multi,global
s039,operations,sea,europe
s242,technology,sea,indo-pacific
s019,operations,air,middle-east
s025,operations,sea,europe
s235,operations,air,middle-east
s201,operations,multi,middle-east
s079,operations,cyber,global
s105,operations,cyber,americas
s185,operations,land,americas
s101,policy,cyber,global
s264,operations,space,indo-pacific
s146,technology,land,global
s186,operations,land,europe
s162,operations,air,indo-pacific
s206,operations,sea,americas
s213,operations,land,middle-east
s015,operations,sea,middle-east
s113,operations,cyber,global
s266,technology,air,americas
s080,operations,cyber,global
s294,technology,air,global
s035,operations,sea,global
s053,operations,space,americas
s021,operations,sea,middle-east
s295,technology,multi,americas
s125,operations,cyber,americas
s184,operations,land,indo-pacific
s228,operations,land,middle-east
s014,operations,sea,americas
s215,operations,land,middle-east
s223,operations,air,americas
s238,operations,air,middle-east
s231,operations,air,middle-east
s293,technology,multi,americas
s045,operations,sea,indo-pacific
s176,operations,air,americas
s183,operations,air,americas
s043,operations,sea,indo-pacific
s195,operations,land,americas
s016,operations,multi,indo-pacific
s161,procurement,air,americas
s132,procurement,air,americas
s216,operations,land,middle-east
s144,procurement,multi,global
s248,technology,land,global
s031,operations,sea,europe
s137,procurement,air,global
s072,operations,space,americas
s042,operations,sea,indo-pacific
s299,technology,sea,global
s077,operations,cyber,global
s051,policy,space,americas
s057,operations,space,americas
s275,technology,air,global
