id,pred_category,pred_operational_domain,pred_region
s587,operations,land,europe
s459,operations,sea,middle-east
s396,policy,multi,global
s481,operations,land,indo-pacific
s502,operations,cyber,americas
s402,policy,air,global
s465,operations,sea,americas
s510,operations,cyber,americas
s371,policy,land,americas
s491,operations,air,indo-pacific
s521,operations,cyber,indo-pacific
s388,policy,multi,global
s549,operations,land,americas
s464,operations,sea,americas
s567,operations,land,americas
s421,operations,land,americas
s395,policy,multi,global
s466,operations,sea,indo-pacific
s533,operations,land,middle-east
s450,operations,multi,indo-pacific
s343,operations,air,indo-pacific
s525,operations,cyber,middle-east
s335,operations,air,middle-east
s420,operations,land,americas
s418,operations,land,middle-east
s539,operations,land,middle-east
s438,operations,sea,indo-pacific
s406,operations,land,middle-east
s386,policy,multi,global
s499,operations,air,global
s573,operations,land,americas
s391,policy,space,global
s584,operations,land,americas
s344,operations,air,americas
s307,operations,space,americas
s326,operations,cyber,global
s302,operations,air,indo-pacific
s430,operations,multi,americas
s536,operations,land,middle-east
s456,operations,multi,americas
s597,operations,land,americas
s469,operations,air,americas
s351,operations,multi,americas
s564,operations,land,americas
s329,policy,cyber,global
s405,policy,multi,global
s515,operations,air,americas
s400,policy,multi,americas
s486,operations,land,americas
s482,operations,air,europe
s375,policy,multi,americas
s350,operations,air,indo-pacific
s443,operations,sea,europe
s506,operations,cyber,indo-pacific
s308,policy,air,americas
s470,operations,air,americas
s360,policy,land,global
s543,operations,multi,americas
s458,operations,sea,americas
s578,operations,land,americas
s387,policy,multi,europe
s337,operations,multi,americas
s361,policy,multi,global
s595,operations,land,americas
s338,technology,air,global
s403,operations,air,americas
s583,operations,land,americas
s489,operations,air,middle-east
s599,operations,land,americas
s588,operations,multi,americas
s435,operations,multi,indo-pacific
s553,operations,multi,global
s572,operations,land,europe
s374,policy,multi,europe
s488,operations,air,middle-east
s431,operations,multi,americas
s534,operations,land,americas
s358,policy,space,global
s325,operations,air,americas
s414,operations,air,americas
s303,operations,sea,middle-east
s546,operations,sea,europe
s591,operations,land,americas
s503,operations,cyber,middle-east
s441,operations,sea,americas
s542,operations,multi,americas
s314,operations,cyber,americas
s320,operations,cyber,global
s379,operations,multi,indo-pacific
s342,operations,air,americas
s373,policy,land,americas
s304,operations,sea,indo-pacific
s432,operations,multi,americas
s367,policy,land,middle-east
s354,operations,land,americas
s600,operations,land,americas
s328,operations,space,americas
s327,operations,cyber,global
s368,policy,land,middle-east
s574,operations,land,global
s455,operations,multi,indo-pacific
s594,operations,land,americas
s474,operations,land,global
s330,policy,cyber,global
s355,operations,air,middle-east
s401,policy,multi,global
s378,policy,multi,global
s319,policy,multi,global
s449,operations,sea,americas
s551,operations,sea,africa
s504,operations,cyber,americas
s362,policy,land,americas
s428,operations,multi,americas
s410,industry,multi,americas
s457,operations,multi,indo-pacific
s425,operations,land,americas
s346,operations,sea,americas
s555,policy,multi,global
s592,operations,land,americas
s311,operations,cyber,americas
s359,policy,multi,americas
s471,operations,land,americas
s580,operations,land,americas
s321,policy,multi,global
s478,operations,land,americas
s332,procurement,air,global
s316,policy,cyber,global
s494,operations,land,europe
s434,operations,land,middle-east
s596,technology,land,americas
s447,operations,sea,americas
s309,technology,space,americas
s552,operations,land,middle-east
s487,operations,land,americas
s561,operations,land,middle-east
s347,operations,land,americas
s480,operations,land,americas
s472,industry,land,americas
s571,operations,land,americas
s453,operations,sea,middle-east
s540,operations,land,middle-east
s397,policy,space,global
s369,policy,multi,africa
s505,technology,cyber,global
s545,operations,land,europe
s554,operations,land,americas
s532,operations,land,africa
s570,operations,land,global
s349,operations,land,americas
s451,operations,sea,middle-east
s305,technology,space,americas
s324,operations,multi,indo-pacific
s476,operations,air,americas
s529,operations,air,global
s495,operations,land,americas
s559,operations,land,middle-east
s419,operations,air,middle-east
s436,operations,land,global
s411,industry,multi,americas
s345,operations,land,middle-east
s370,policy,multi,americas
s514,operations,cyber,middle-east
s473,operations,land,global
s444,operations,sea,americas
s501,operations,air,europe
s576,operations,land,americas
s384,policy,multi,global
s352,operations,air,indo-pacific
s548,operations,land,middle-east
s348,operations,land,europe
s333,technology,air,americas
s312,policy,multi,europe
s353,operations,land,americas
s334,procurement,air,americas
s382,policy,multi,global
s485,operations,land,middle-east
s519,operations,sea,americas
s445,operations,sea,indo-pacific
s341,procurement,air,indo-pacific
s511,operations,cyber,americas
s446,operations,sea,indo-pacific
s364,policy,land,global
s568,operations,land,americas
s512,operations,land,middle-east
s527,operations,cyber,indo-pacific
s376,policy,multi,indo-pacific
s385,policy,multi,americas
s426,operations,multi,americas
s522,operations,space,americas
s454,operations,sea,indo-pacific
s579,operations,land,europe
s500,operations,land,middle-east
s530,operations,multi,europe
s566,operations,land,europe
s439,operations,land,americas
s490,policy,air,americas
s593,operations,land,americas
s317,policy,space,americas
s516,operations,air,indo-pacific
s363,policy,land,global
s493,operations,air,americas
s557,policy,land,middle-east
s483,operations,air,middle-east
s541,policy,multi,global
s433,operations,land,indo-pacific
s550,operations,land,middle-east
s442,operations,sea,americas
s423,operations,multi,indo-pacific
s412,policy,multi,africa
s372,policy,multi,americas
s301,operations,sea,global
s463,operations,sea,americas
s575,operations,land,americas
s452,operations,sea,indo-pacific
s390,policy,multi,global
s598,operations,land,europe
s547,operations,sea,americas
s357,policy,land,global
s448,operations,multi,americas
