id,pred_category,pred_operational_domain,pred_region
g001,operations,sea,indo-pacific
g002,operations,air,middle-east
g003,operations,sea,europe
g004,operations,sea,americas
g005,operations,sea,indo-pacific
g006,operations,sea,americas
g007,technology,space,americas
g009,technology,space,americas
g010,operations,space,global
g011,technology,cyber,americas
g012,operations,cyber,americas
g013,technology,cyber,indo-pacific
g014,operations,cyber,indo-pacific
g016,operations,cyber,americas
g017,procurement,land,global
g018,procurement,land,americas
g019,procurement,land,global
g020,industry,land,americas
g021,procurement,land,global
g022,procurement,air,global
g023,procurement,air,americas
g024,technology,air,global
g025,procurement,air,indo-pacific
g026,operations,land,global
g027,operations,land,americas
g028,operations,land,africa
g029,operations,air,global
g030,operations,land,middle-east
g031,operations,land,americas
g032,operations,air,middle-east
g033,operations,air,middle-east
g034,operations,air,middle-east
g035,technology,air,americas
g036,technology,air,americas
g037,technology,air,global
g038,technology,air,americas
g039,technology,air,americas
g040,technology,sea,indo-pacific
g041,technology,land,americas
g042,technology,sea,americas
g043,technology,multi,americas
g044,policy,multi,global
g045,operations,land,middle-east
g047,policy,multi,global
g048,policy,multi,global
g049,policy,multi,africa
g050,policy,multi,global
g051,policy,multi,global
g053,policy,land,global
g054,industry,sea,global
g055,industry,air,global
g056,industry,multi,global
g057,industry,multi,global
g058,industry,multi,global
