id,rp_category,rp_operational_domain,runner_up_category
g003,operations,sea,none
g053,policy,land,operations
g022,procurement,air,technology
g035,technology,air,procurement
g048,policy,multi,none
g025,procurement,air,technology
g020,industry,land,procurement
g002,operations,air,none
g050,policy,multi,none
g009,technology,space,operations
g044,policy,multi,procurement
g054,industry,sea,procurement
g027,operations,land,technology
g021,procurement,land,none
g032,operations,air,none
g040,technology,sea,operations
g047,policy,multi,none
g037,technology,air,none
g043,technology,multi,policy
g026,operations,land,none
g041,technology,land,policy
g042,technology,sea,procurement
g010,operations,space,technology
g017,procurement,land,industry
g038,technology,air,procurement
g001,operations,sea,none
g018,procurement,land,technology
g004,operations,sea,none
g006,operations,sea,none
g045,operations,land,policy
g030,operations,land,none
g028,operations,land,none
g051,policy,multi,none
g058,industry,multi,procurement
g014,operations,cyber,technology
g057,industry,multi,none
g023,procurement,air,industry
g024,technology,air,operations
g013,operations,cyber,policy
g005,operations,sea,none
g019,procurement,land,technology
g049,policy,multi,operations
g029,operations,air,none
g033,operations,air,none
g012,operations,cyber,none
g031,operations,land,none
g007,technology,space,operations
g011,technology,cyber,procurement
g034,operations,multi,none
g055,industry,air,none
g036,technology,air,operations
g016,operations,cyber,technology
g056,industry,multi,none
g039,technology,air,procurement
