id,rp_category,rp_operational_domain,runner_up_category
s210,operations,land,policy
s168,operations,air,procurement
s291,technology,land,none
s260,technology,multi,operations
s121,operations,cyber,none
s077,operations,cyber,technology
s236,operations,air,none
s134,policy,sea,procurement
s074,operations,space,none
s282,technology,air,none
s041,operations,sea,none
s263,technology,air,none
s195,operations,land,none
s004,operations,sea,none
s046,operations,sea,none
s021,operations,sea,none
s188,operations,land,none
s286,technology,multi,policy
s102,operations,cyber,policy
s212,operations,land,none
s146,technology,air,procurement
s125,operations,cyber,policy
s098,operations,cyber,technology
s201,operations,multi,none
s123,operations,cyber,policy
s239,operations,multi,none
s036,operations,sea,none
s185,operations,air,none
s110,operations,cyber,technology
s025,operations,sea,none
s256,technology,air,none
s092,operations,cyber,technology
s064,procurement,space,technology
s281,technology,sea,policy
s245,operations,space,technology
s109,policy,cyber,operations
s014,operations,sea,none
s220,operations,air,none
s278,technology,land,procurement
s198,operations,multi,none
s269,technology,air,procurement
s052,technology,space,none
s115,operations,cyber,policy
s060,policy,space,operations
s254,technology,air,procurement
s243,technology,air,operations
s177,procurement,air,industry
s155,technology,land,procurement
s248,technology,land,procurement
s018,operations,sea,none
s290,technology,multi,policy
s225,operations,land,none
s180,technology,air,operations
s270,technology,air,procurement
s112,operations,cyber,none
s059,operations,space,technology
s088,operations,cyber,policy
s296,technology,multi,operations
s222,operations,air,none
s259,technology,multi,none
s138,policy,multi,procurement
s001,operations,sea,none
s013,operations,sea,none
s080,operations,cyber,technology
s217,operations,land,none
s020,operations,sea,none
s095,operations,cyber,none
s033,operations,sea,none
s016,operations,multi,none
s258,policy,multi,operations
s090,policy,cyber,operations
s057,operations,space,technology
s159,operations,air,procurement
s285,technology,multi,none
s031,operations,sea,none
s017,operations,sea,none
s293,technology,multi,policy
s063,operations,space,technology
s274,technology,land,operations
s249,technology,air,operations
s108,operations,cyber,policy
s191,operations,land,none
s045,operations,sea,none
s244,operations,air,technology
s136,procurement,land,technology
s119,operations,cyber,policy
s288,technology,land,procurement
s048,operations,sea,none
s043,operations,sea,none
s266,technology,air,operations
s229,operations,multi,policy
s099,operations,cyber,policy
s271,technology,sea,operations
s162,operations,air,none
s034,operations,sea,none
s250,technology,air,operations
s283,technology,sea,operations
s039,operations,sea,none
s139,procurement,land,operations
s194,operations,land,none
s223,operations,air,policy
s061,operations,space,policy
s051,operations,space,policy
s153,operations,land,policy
s126,procurement,air,industry
s107,operations,cyber,none
s171,technology,air,operations
s047,operations,sea,none
s116,operations,cyber,none
s111,policy,cyber,operations
s015,operations,sea,none
s268,technology,air,procurement
s165,industry,air,operations
s172,operations,air,none
s169,operations,air,none
s205,operations,air,none
s187,operations,multi,none
s118,operations,multi,policy
s150,technology,multi,procurement
s208,operations,air,none
s156,operations,air,procurement
s027,operations,sea,none
s132,procurement,air,technology
s129,policy,multi,procurement
s022,operations,multi,none
s284,technology,land,procurement
s130,procurement,air,industry
s233,operations,air,none
s190,operations,multi,technology
s079,operations,cyber,technology
s251,operations,air,technology
s276,technology,air,procurement
s300,technology,cyber,operations
s200,operations,land,none
s009,operations,sea,none
s075,policy,space,operations
s280,policy,land,technology
s295,technology,multi,industry
s072,operations,space,technology
s166,operations,air,procurement
s050,operations,sea,none
s252,technology,sea,policy
s149,procurement,multi,technology
s106,operations,cyber,none
s232,operations,air,none
s237,operations,air,none
s206,operations,sea,none
s242,technology,sea,operations
s081,operations,cyber,policy
s277,technology,sea,procurement
s103,technology,cyber,policy
s167,operations,air,none
s227,operations,land,none
s128,procurement,land,none
s071,operations,space,none
s029,operations,sea,none
s055,operations,space,none
s267,technology,sea,operations
s228,operations,land,none
s203,operations,multi,none
s091,operations,cyber,none
s117,operations,air,technology
s213,operations,land,none
s101,policy,cyber,operations
s178,procurement,air,technology
s192,operations,land,none
s141,technology,cyber,procurement
s023,operations,multi,none
s019,operations,air,none
s298,operations,land,policy
s053,operations,space,technology
s218,operations,land,none
s214,operations,land,none
s096,technology,cyber,operations
s035,operations,sea,none
s199,operations,land,none
s093,operations,cyber,technology
s068,operations,space,technology
s058,procurement,space,operations
s193,operations,air,none
s151,refused,refused,refused
s124,operations,cyber,policy
s231,operations,air,none
s054,operations,space,procurement
s216,operations,land,none
s279,operations,air,technology
s221,operations,land,none
s262,industry,sea,technology
s209,operations,land,none
s044,operations,sea,none
s207,operations,land,none
s005,operations,sea,none
s230,operations,land,none
s006,operations,sea,none
s289,technology,land,procurement
s157,procurement,air,technology
s069,operations,space,technology
s094,operations,cyber,technology
s089,operations,cyber,policy
s024,operations,sea,none
s183,operations,air,none
s065,operations,space,technology
s257,technology,air,none
s076,operations,cyber,none
s161,procurement,air,technology
s181,operations,land,none
s173,operations,air,procurement
s042,operations,sea,none
s160,procurement,air,technology
s030,operations,sea,none
s040,operations,sea,none
s028,operations,sea,none
s085,operations,cyber,none
s197,operations,air,none
s007,operations,multi,none
s011,operations,air,none
s145,technology,land,procurement
s186,operations,land,none
s148,procurement,land,technology
s255,technology,air,operations
s176,operations,air,none
s147,procurement,air,technology
s073,operations,space,none
s144,procurement,multi,technology
s003,operations,air,technology
s170,operations,air,technology
s273,technology,multi,none
s120,operations,cyber,policy
s131,procurement,land,industry
s189,operations,land,none
s152,operations,air,policy
s113,operations,cyber,none
s247,technology,air,operations
s238,operations,air,none
s174,technology,air,industry
s179,technology,air,operations
s142,policy,land,procurement
s122,policy,cyber,technology
s002,operations,sea,none
s224,operations,land,none
s133,procurement,air,industry
s012,operations,air,none
s056,policy,space,technology
s010,operations,multi,none
s086,technology,cyber,policy
s272,technology,sea,operations
s154,technology,cyber,procurement
s235,operations,multi,none
s297,technology,sea,operations
s105,operations,cyber,policy
s287,technology,multi,policy
s026,operations,sea,none
s265,technology,air,operations
s215,operations,land,none
s104,operations,cyber,none
s204,operations,land,none
s137,procurement,air,technology
s253,technology,air,procurement
s299,technology,sea,operations
s261,technology,air,operations
s143,procurement,land,operations
s114,policy,multi,operations
s070,technology,space,operations
s240,operations,multi,none
s184,operations,land,none
s196,operations,land,none
s083,operations,cyber,none
s275,technology,air,operations
s246,technology,multi,operations
s038,operations,sea,none
s100,operations,cyber,none
s087,operations,cyber,none
s049,operations,sea,none
s292,technology,sea,none
s135,policy,multi,operations
s084,operations,cyber,technology
s202,operations,air,technology
s182,operations,land,none
s066,operations,space,technology
s067,operations,space,none
s140,procurement,land,policy
s219,operations,land,none
s264,operations,space,technology
s234,operations,air,none
s241,technology,air,operations
s037,operations,sea,none
s164,operations,air,none
s127,procurement,land,technology
s097,operations,cyber,policy
s062,operations,space,technology
s211,operations,land,none
s163,operations,air,none
s158,operations,air,procurement
s082,policy,cyber,operations
s008,operations,sea,none
s294,technology,air,policy
s032,operations,sea,none
s078,operations,cyber,technology
s175,operations,multi,technology
s226,operations,land,none
